RecordType.Name,Hierarchy_Root__r.External_Id__c,Skill_Name__c,Hierarchy_Parent_Branch__r.External_Id__c,External_Id__c
Hierarchy Branch Node,Sports,Curve Ball,BASEBALL_Pitching,BASEBALL_Curve_Ball
Hierarchy Branch Node,Sports,Fast Ball,BASEBALL_Pitching,BASEBALL_Fast_Ball
Hierarchy Branch Node,Sports,Slider Ball,BASEBALL_Pitching,BASEBALL_Slider_Ball
Hierarchy Branch Node,Sports,Left Handed Batter,BASEBALL_Bating,BASEBALL_Left_Handed_Batter
Hierarchy Branch Node,Sports,Right Handed Batter,BASEBALL_Bating,BASEBALL_Right_Handed_Batter
Hierarchy Branch Node,Sports,Fly Ball,BASEBALL_Fielding,BASEBALL_Fly_Ball
Hierarchy Branch Node,Sports,Grounder,BASEBALL_Fielding,BASEBALL_Grounder
Hierarchy Branch Node,Sports,Bounce,BASEBALL_Fielding,BASEBALL_Bounce
Hierarchy Branch Node,Sports,Quarterback,FOOTBALL_Offense,FOOTBALL_Quarterback
Hierarchy Branch Node,Sports,Wide Reciever,FOOTBALL_Offense,FOOTBALL_Wide_Reciever
Hierarchy Branch Node,Sports,Running Back,FOOTBALL_Offense,FOOTBALL_Running_Back
Hierarchy Branch Node,Sports,Guard,FOOTBALL_Offense,FOOTBALL_Guard
Hierarchy Branch Node,Sports,Tackle,FOOTBALL_Defense,FOOTBALL_Tackle
Hierarchy Branch Node,Sports,Middle Linebacker,FOOTBALL_Defense,FOOTBALL_Middle_Linebacker
Hierarchy Branch Node,Sports,Safety,FOOTBALL_Defense,FOOTBALL_Safety
Hierarchy Branch Node,Sports,Kicker,FOOTBALL_Special_Teams,FOOTBALL_Kicker
Hierarchy Branch Node,Sports,Placeholder,FOOTBALL_Special_Teams,FOOTBALL_Placeholder
